"","unit","id","suffix","prism","x","y","z.x","type.x","geo.x","spit","exc","plunge","bearing","length.x","max_width","thickness","collected.x","comment","date.x","time","year","date.y","z.y","type.y","geo.y","collected.y","integrity","articulation","nsp.bone","nsp.tooth","nsp.total","skeletal.element","skeletal.part","bone.portion","voorhies.group","BM.category","bone.shape..cube.tube.flat.","bone.structure..dense.trabecular.","description","class","order","family","genus","species","taxon","stratified.surface","length.y","carnivore_gnawing","refit","remarks","reference_id.if_from_plaster_jacket.","totalstation_comment"
"1","C14","2","0",0.04,2.881,14.9,-3.507,"Bone","4","1","EM",NA,NA,NA,NA,NA,"yes",NA,2015-06-26,"11:54:59 AM","2015","6/26/2015",-3.507,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metapode, distal frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA
"2","C14","4","0",0,2.961,14.974,-4.122,"Tooth","4",NA,"AG",4,242,60,30,NA,"yes","isolated tooth",2017-06-01,"11:47:48 AM","2017","6/1/2017",-4.122,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",60,NA,NA,NA,NA,"isolated tooth"
"3","C15","4","0",0.03,2.74,15.459,-3.507,"Bone","4","1","VT",24,240,80,NA,NA,"no","not collected, long bone fragment",2015-06-19,"2:13:18 PM","2015","6/19/2015",-3.507,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",80,NA,NA,NA,NA,"not collected, long bone fragment"
"4","C15","5","0",0.04,2.91,15.768,-3.502,"Bone","4","1","VT",10,350,90,NA,NA,"no","not collected, long bone fragment",2015-06-19,"2:37:35 PM","2015","6/19/2015",-3.502,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment"
"5","C15","6","0",0.04,2.725,15.492,-3.567,"Bone","4","1","VT",0,24,60,NA,NA,"no","not collected, long bone fragment",2015-06-22,"1:59:32 PM","2015","6/22/2015",-3.567,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",60,NA,NA,NA,NA,"not collected, long bone fragment"
"6","C15","7","0",0.08,2.789,15.782,-3.556,"Bone","4","1","VT",0,110,90,NA,NA,"no","not collected, long bone fragment",2015-06-22,"2:10:37 PM","2015","6/22/2015",-3.556,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment"
"7","C15","9","0",0.09,2.724,15.316,-3.634,"Tooth","4","2","VT",NA,NA,NA,NA,NA,"yes","fragment",2015-06-22,"3:06:47 PM","2015","6/22/2015",-3.634,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"fragment"
"8","C15","10","0",0.1,2.569,15.535,-3.633,"Bone","4","2","VT",16,164,110,NA,NA,"no","not collected, long bone fragment, two fractures with old breakages, not displaced",2015-06-23,"10:47:41 AM","2015","6/23/2015",-3.633,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",110,NA,NA,NA,NA,"not collected, long bone fragment, two fractures with old breakages, not displaced"
"9","C15","11","0",0.05,2.925,15.992,-3.726,"Bone","4",NA,"DK",NA,NA,NA,NA,NA,"yes","atlas",2016-05-31,"2:36:38 PM","2016","5/31/2016",-3.726,"Bone","4","yes","fragment","articulated","3",NA,"3","vertebra","axial",NA,NA,NA,NA,NA,"a. atlas, b. axis, c. third cervical vertebra","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"atlas"
"10","C15","12","0",0,2.804,15.021,-4.108,"Bone","4",NA,"AG",NA,NA,80,60,NA,"no","Not collected",2017-06-01,"12:08:46 PM","2017","6/1/2017",-4.108,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stratified",80,NA,NA,NA,NA,"Not collected"
"11","C15","13","0",0.03,2.563,15.588,-4.28,"Tooth","4",NA,"VT",NA,NA,NA,NA,NA,"yes","Carnivore isolated canine",2017-06-09,"9:58:17 AM","2017","6/9/2017",-4.28,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"canine","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"Carnivore isolated canine"
"12","C16","3","0",0.0199999996,2.828,16.305,-3.5,"Bone","4","1","MI",2,292,90,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:26:27 PM","2015","6/23/2015",-3.5,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment"
"13","C16","4","0",0.01,2.878,16.381,-3.475,"Bone","4","1","MI",8,228,120,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:27:46 PM","2015","6/23/2015",-3.475,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",120,NA,NA,NA,NA,"not collected, long bone fragment"
"14","C16","5","0",0.0099999998,2.956,16.364,-3.476,"Bone","4","1","MI",10,130,70,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:28:54 PM","2015","6/23/2015",-3.476,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",70,NA,NA,NA,NA,"not collected, long bone fragment"
"15","C16","6","0",0.0099999998,2.979,16.411,-3.472,"Bone","4","1","MI",8,196,90,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:29:32 PM","2015","6/23/2015",-3.472,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment"
"16","C16","9","0",0,2.546,16.85,-3.764,"Bone","4",NA,"Prof.GK",0,140,100,40,NA,"yes","calcaneus equuus",2016-05-30,"2:38:50 PM","2016","5/30/2016",-3.764,"Bone","4","yes","fragment","isolated","1",NA,"1","tarsal","appendicular","fragment",NA,NA,NA,NA,"calcaneus dex frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"calcaneus equuus"
"17","C16","10","0",0.05,2.554,16.933,-3.865,"Bone","4",NA,"Prof.GK",0,80,90,20,NA,"yes","?",2016-05-30,"2:52:14 PM","2016","5/30/2016",-3.865,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II","BM4",NA,NA,"lateral Mp","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"?"
