"","marks.unit","marks.id","marks.suffix","marks.prism","marks.z.x","marks.type.x","marks.geo.x","marks.spit","marks.exc","marks.plunge","marks.bearing","marks.length.x","marks.max_width","marks.thickness","marks.collected.x","marks.comment","marks.date.x","marks.time","marks.year","marks.date.y","marks.z.y","marks.type.y","marks.geo.y","marks.collected.y","marks.integrity","marks.articulation","marks.nsp.bone","marks.nsp.tooth","marks.nsp.total","marks.skeletal.element","marks.skeletal.part","marks.bone.portion","marks.voorhies.group","marks.BM.category","marks.bone.shape..cube.tube.flat.","marks.bone.structure..dense.trabecular.","marks.description","marks.class","marks.order","marks.family","marks.genus","marks.species","marks.taxon","marks.stratified.surface","marks.length.y","marks.carnivore_gnawing","marks.refit","marks.remarks","marks.reference_id.if_from_plaster_jacket.","marks.totalstation_comment","mx","my"
"1","C14","2","0",0.04,-3.507,"Bone","4","1","EM",NA,NA,NA,NA,NA,"yes",NA,2015-06-26,"11:54:59 AM","2015","6/26/2015",-3.507,"Bone","4","yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metapode, distal frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,NA,-14.9,2.881
"2","C14","4","0",0,-4.122,"Tooth","4",NA,"AG",4,242,60,30,NA,"yes","isolated tooth",2017-06-01,"11:47:48 AM","2017","6/1/2017",-4.122,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"upper tooth","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",60,NA,NA,NA,NA,"isolated tooth",-14.974,2.961
"3","C15","4","0",0.03,-3.507,"Bone","4","1","VT",24,240,80,NA,NA,"no","not collected, long bone fragment",2015-06-19,"2:13:18 PM","2015","6/19/2015",-3.507,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",80,NA,NA,NA,NA,"not collected, long bone fragment",-15.459,2.74
"4","C15","5","0",0.04,-3.502,"Bone","4","1","VT",10,350,90,NA,NA,"no","not collected, long bone fragment",2015-06-19,"2:37:35 PM","2015","6/19/2015",-3.502,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment",-15.768,2.91
"5","C15","6","0",0.04,-3.567,"Bone","4","1","VT",0,24,60,NA,NA,"no","not collected, long bone fragment",2015-06-22,"1:59:32 PM","2015","6/22/2015",-3.567,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",60,NA,NA,NA,NA,"not collected, long bone fragment",-15.492,2.725
"6","C15","7","0",0.08,-3.556,"Bone","4","1","VT",0,110,90,NA,NA,"no","not collected, long bone fragment",2015-06-22,"2:10:37 PM","2015","6/22/2015",-3.556,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment",-15.782,2.789
"7","C15","9","0",0.09,-3.634,"Tooth","4","2","VT",NA,NA,NA,NA,NA,"yes","fragment",2015-06-22,"3:06:47 PM","2015","6/22/2015",-3.634,"Tooth","4","yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",NA,NA,NA,NA,NA,"fragment",-15.316,2.724
"8","C15","10","0",0.1,-3.633,"Bone","4","2","VT",16,164,110,NA,NA,"no","not collected, long bone fragment, two fractures with old breakages, not displaced",2015-06-23,"10:47:41 AM","2015","6/23/2015",-3.633,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",110,NA,NA,NA,NA,"not collected, long bone fragment, two fractures with old breakages, not displaced",-15.535,2.569
"10","C15","12","0",0,-4.108,"Bone","4",NA,"AG",NA,NA,80,60,NA,"no","Not collected",2017-06-01,"12:08:46 PM","2017","6/1/2017",-4.108,"Bone","4","no","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stratified",80,NA,NA,NA,NA,"Not collected",-15.021,2.804
"11","C15","13","0",0.03,-4.28,"Tooth","4",NA,"VT",NA,NA,NA,NA,NA,"yes","Carnivore isolated canine",2017-06-09,"9:58:17 AM","2017","6/9/2017",-4.28,"Tooth","4","yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"canine","Mammalia","Carnivora",NA,NA,NA,"Carnivora","stratified",NA,NA,NA,NA,NA,"Carnivore isolated canine",-15.588,2.563
"12","C16","3","0",0.0199999996,-3.5,"Bone","4","1","MI",2,292,90,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:26:27 PM","2015","6/23/2015",-3.5,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment",-16.305,2.828
"13","C16","4","0",0.01,-3.475,"Bone","4","1","MI",8,228,120,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:27:46 PM","2015","6/23/2015",-3.475,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",120,NA,NA,NA,NA,"not collected, long bone fragment",-16.381,2.878
"14","C16","5","0",0.0099999998,-3.476,"Bone","4","1","MI",10,130,70,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:28:54 PM","2015","6/23/2015",-3.476,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",70,NA,NA,NA,NA,"not collected, long bone fragment",-16.364,2.956
"15","C16","6","0",0.0099999998,-3.472,"Bone","4","1","MI",8,196,90,NA,NA,"no","not collected, long bone fragment",2015-06-23,"12:29:32 PM","2015","6/23/2015",-3.472,"Bone","4","no","fragment","isolated","1",NA,"1","limb bone","appendicular","fragment",NA,NA,NA,NA,"long bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","stratified",90,NA,NA,NA,NA,"not collected, long bone fragment",-16.411,2.979
"16","C16","9","0",0,-3.764,"Bone","4",NA,"Prof.GK",0,140,100,40,NA,"yes","calcaneus equuus",2016-05-30,"2:38:50 PM","2016","5/30/2016",-3.764,"Bone","4","yes","fragment","isolated","1",NA,"1","tarsal","appendicular","fragment",NA,NA,NA,NA,"calcaneus dex frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"calcaneus equuus",-16.85,2.546
"17","C16","10","0",0.05,-3.865,"Bone","4",NA,"Prof.GK",0,80,90,20,NA,"yes","?",2016-05-30,"2:52:14 PM","2016","5/30/2016",-3.865,"Bone","4","yes","complete","isolated","1",NA,"1","metapode","appendicular",NA,"II","BM4",NA,NA,"lateral Mp","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"?",-16.933,2.554
"18","C16","11","0",0,-3.784,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","first phalang bovidae",2016-05-30,"2:59:46 PM","2016","5/30/2016",-3.784,"Bone","4","yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"first phalang bovidae",-16.938,2.656
"19","C16","12","0",0,-3.855,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","third phalang bovidae",2016-05-30,"3:13:00 PM","2016","5/30/2016",-3.855,"Bone","4","yes","complete","isolated","2",NA,"2","phalanx","appendicular",NA,"I/II",NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"third phalang bovidae",-16.998,2.631
"20","C16","13","0",0,-3.85,"Bone","4",NA,"Prof.GK",NA,NA,NA,30,NA,"yes","third phalang",2016-05-31,"10:17:37 AM","2016","5/31/2016",-3.85,"Bone","4","yes","fragment","isolated","1",NA,"1","phalanx","appendicular","fragment",NA,NA,NA,NA,"third phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","stratified",NA,NA,NA,NA,NA,"third phalang",-16.948,2.609
"21","C16","14","0",0,-3.869,"Bone","4",NA,"Prof.GK",NA,NA,NA,NA,NA,"yes","carpal",2016-05-31,"10:20:44 AM","2016","5/31/2016",-3.869,"Bone","4","yes","complete","isolated","1",NA,"1","carpal","appendicular",NA,"I/II","BM4",NA,NA,"carpal","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","stratified",NA,NA,NA,NA,NA,"carpal",-16.931,2.625
