"","year","date","unit","id","suffix","z","type","geo","collected","integrity","articulation","nsp bone","nsp tooth","nsp total","skeletal element","skeletal part","bone portion","voorhies group","BM category","bone shape (cube,tube,flat)","bone structure (dense,trabecular)","description","class","order","family","genus","species","taxon","stratified.surface","length","carnivore_gnawing","refit","remarks","reference_id.if_from_plaster_jacket.","totalstation_comment"
"1","2014","5/21/2014",NA,"TSR-1",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metacarpal, distal frag.","Mammalia","Artiodactyla","Bovidae","Bison","sp.","Bison sp.","surface",NA,NA,NA,NA,NA,NA
"2","2014","5/21/2014",NA,"TSR-2",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"astragalus","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","surface",NA,NA,NA,NA,NA,NA
"3","2014","5/21/2014",NA,"TSR-3",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","tarsal","appendicular",NA,"I/II",NA,NA,NA,"astragalus","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","surface",NA,NA,NA,NA,NA,NA
"4","2014",NA,NA,"TSR-4",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II","BM4",NA,NA,"first phalanx","Mammalia","Artiodactyla","Giraffidae","Palaeotragus","sp.","Palaeotragus sp.","surface",NA,NA,NA,NA,NA,NA
"5","2014","5/21/2014",NA,"TSR-5",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","surface",NA,NA,NA,NA,NA,NA
"6","2014","5/21/2014",NA,"TSR-6",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metapode, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","surface",NA,NA,NA,NA,NA,NA
"7","2014","5/21/2014",NA,"TSR-7",NA,NA,"Tooth",NA,"yes","complete","isolated",NA,"1","1","tooth","cranial",NA,NA,NA,NA,NA,"molar","Mammalia","Artiodactyla","Bovidae",NA,NA,"Bovidae","surface",NA,NA,NA,NA,NA,NA
"8","2014","5/21/2014",NA,"TSR-8",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","proximal",NA,NA,NA,NA,"metatarsal, proximal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp. (medium-sized)","Equus sp. (medium-sized)","surface",NA,NA,NA,NA,NA,NA
"9","2014","5/21/2014",NA,"TSR-9",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","distal",NA,NA,NA,NA,"metapode, distal frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","surface",NA,NA,NA,NA,NA,NA
"10","2014","5/21/2014",NA,"TSR-10",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","shaft",NA,NA,NA,NA,"metatarsal, diaphysis","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","surface",NA,NA,NA,NA,NA,NA
"11","2014","5/21/2014",NA,"TSR-11",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","shaft",NA,NA,NA,NA,"metacarpal, diaphysis","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","surface",NA,NA,NA,NA,NA,NA
"12","2014","5/21/2014",NA,"TSR-12",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","phalanx","appendicular","fragment",NA,NA,NA,NA,"third phalanx frag.","Mammalia","Perissodactyla","Equidae","Equus","sp.","Equus sp.","surface",NA,NA,NA,NA,NA,NA
"13","2014","5/21/2014",NA,"TSR-13",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","surface",NA,NA,NA,NA,NA,NA
"14","2014","5/21/2014",NA,"TSR-14",NA,NA,"Bone",NA,"yes","complete","isolated","1",NA,"1","phalanx","appendicular",NA,"I/II",NA,NA,NA,"first phalanx","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","surface",NA,NA,NA,NA,NA,NA
"15","2014","5/21/2014",NA,"TSR-15",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","metapode","appendicular","proximal",NA,NA,NA,NA,"metatarsal, proximal frag.","Mammalia","Artiodactyla",NA,NA,NA,"Artiodactyla","surface",NA,NA,NA,NA,NA,NA
"16","2014","5/21/2014",NA,"TSR-16",NA,NA,"Tooth",NA,"yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"17","2014","5/21/2014",NA,"TSR-17",NA,NA,"Tooth",NA,"yes","fragment","isolated",NA,"1","1","tooth","cranial","fragment",NA,NA,NA,NA,"tooth frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"18","2014","5/21/2014",NA,"TSR-18",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1","rib","axial","fragment",NA,NA,NA,NA,"rib frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
"19","2014","5/21/2014",NA,"TSR-19",NA,NA,"Bone",NA,"yes","fragment","isolated","1",NA,"1",NA,NA,"fragment",NA,NA,NA,NA,"bone frag.","Mammalia",NA,NA,NA,NA,"Mammalia","surface",NA,NA,NA,NA,NA,NA
