"","unit","id","suffix","prism","x","y","z","type","geo","spit","exc","plunge","bearing","length","max_width","thickness","collected","comment","date","time"
"1","C14",1,0,0.02,2.977,14.731,-3.491,"Surface","4","1","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/26/2015","11:54:07 AM"
"2","C14",2,0,0.04,2.881,14.9,-3.507,"Bone","4","1","EM",NA,"NA","NA","NA","NA","yes",NA,"6/26/2015","11:54:59 AM"
"3","C14",3,0,0.2,2.909,14.644,-3.641,"Surface","4","2","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 2","6/26/2015","12:28:36 PM"
"4","C15",1,0,0,2.821,15.534,-3.391,"Surface","3","1","VT",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/16/2015","12:19:32 PM"
"5","C15",2,0,0.0299999993,2.819,15.439,-3.501,"Bone","3","1","VT",NA,"NA","NA","NA","NA","lost",NA,"6/17/2015","11:31:34 AM"
"6","C15",3,0,0.01,2.746,15.55,-3.477,"Surface","4","1","VT",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/19/2015","1:05:30 PM"
"7","C15",4,0,0.03,2.74,15.459,-3.507,"Bone","4","1","VT","24 SW","240","80","NA","NA","no","not collected, long bone fragment","6/19/2015","2:13:18 PM"
"8","C15",5,0,0.04,2.91,15.768,-3.502,"Bone","4","1","VT","10 N","350","90","NA","NA","no","not collected, long bone fragment","6/19/2015","2:37:35 PM"
"9","C15",6,0,0.04,2.725,15.492,-3.567,"Bone","4","1","VT","0","24","60","NA","NA","no","not collected, long bone fragment","6/22/2015","1:59:32 PM"
"10","C15",7,0,0.08,2.789,15.782,-3.556,"Bone","4","1","VT","0","110","90","NA","NA","no","not collected, long bone fragment","6/22/2015","2:10:37 PM"
"11","C15",8,0,0.06,2.765,15.493,-3.58,"Surface","4","2","VT",NA,"NA","NA","NA","NA",NA,"Start Spit 2","6/22/2015","2:21:20 PM"
"12","C15",9,0,0.09,2.724,15.316,-3.634,"Tooth","4","2","VT",NA,"NA","NA","NA","NA","yes","fragment","6/22/2015","3:06:47 PM"
"13","C15",10,0,0.1,2.569,15.535,-3.633,"Bone","4","2","VT","16 S","164","110","NA","NA","no","not collected, long bone fragment, two fractures with old breakages, not displaced","6/23/2015","10:47:41 AM"
"14","C16",1,0,0,2.857,16.563,-3.338,"Surface","3","1","MI",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/16/2015","12:20:37 PM"
"15","C16",2,0,0,2.879,16.515,-3.43,"Surface","4","1","MI",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/23/2015","11:02:53 AM"
"16","C16",3,0,0.0199999996,2.828,16.305,-3.5,"Bone","4","1","MI","2 W","292","90","NA","NA","no","not collected, long bone fragment","6/23/2015","12:26:27 PM"
"17","C16",4,0,0.01,2.878,16.381,-3.475,"Bone","4","1","MI","8 SW","228","120","NA","NA","no","not collected, long bone fragment","6/23/2015","12:27:46 PM"
"18","C16",5,0,0.0099999998,2.956,16.364,-3.476,"Bone","4","1","MI","10 SE","130","70","NA","NA","no","not collected, long bone fragment","6/23/2015","12:28:54 PM"
"19","C16",6,0,0.0099999998,2.979,16.411,-3.472,"Bone","4","1","MI","8 S","196","90","NA","NA","no","not collected, long bone fragment","6/23/2015","12:29:32 PM"
"20","C16",7,0,0,2.925,16.551,-3.522,"Collected finds","4","1","MI",NA,"NA","NA","NA","NA","yes","End Spit 1","6/23/2015","1:02:05 PM"
"21","C16",8,0,0,2.925,16.552,-3.521,"Surface","4","2","MI",NA,"NA","NA","NA","NA",NA,"Start Spit 2","6/23/2015","1:02:08 PM"
"22","C17",1,0,0.0099999998,2.841,17.353,-3.508,"Surface","3","1","GK",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/16/2015","1:57:51 PM"
"23","C17",2,0,0.0099999998,2.853,17.372,-3.551,"Surface","4","1","GK",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/19/2015","10:37:44 AM"
"24","C17",3,0,0.0099999998,2.801,17.407,-3.623,"Surface","4","2","GK",NA,"NA","NA","NA","NA",NA,"Start Spit 2","6/19/2015","11:08:58 AM"
"25","C17",4,0,0.02,2.896,17.349,-3.633,"Bone","4","2","GK","6 W","264","100","NA","NA","no","not collected","6/19/2015","11:20:07 AM"
"26","C17",5,0,0.0099999998,2.746,17.464,-3.679,"Surface","4","3","GK",NA,"NA","NA","NA","NA",NA,"Start Spit 3","6/19/2015","11:40:07 AM"
"27","C17",6,0,0.1,2.956,17.989,-3.766,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, bl, gr, re ph: 310/5147 - 310/5151","6/19/2015","1:09:52 PM"
"28","C17",6,1,0.01,2.644,17.924,-3.779,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, bl, gr, re ph: 310/5147 - 310/5151","6/19/2015","1:10:44 PM"
"29","C17",6,2,0.0099999998,2.631,17.818,-3.807,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, bl, gr, re ph: 310/5147 - 310/5151","6/19/2015","1:10:56 PM"
"30","C17",6,3,0.12,2.969,17.825,-3.771,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, bl, gr, re ph: 310/5147 - 310/5151","6/19/2015","1:11:19 PM"
"31","C17",7,0,0,2.777,17.904,-3.771,"Bone","4","3","GK","10 SW","210","230","NA","NA","yes","radius","6/19/2015","1:11:56 PM"
"32","C17",8,0,0.0099999998,2.809,17.494,-3.772,"Surface","4","4","GK",NA,"NA","NA","NA","NA",NA,"Start Spit 4","6/22/2015","10:59:07 AM"
"33","C17",9,0,0.15,2.791,17.163,-3.908,"Bone","4","4","GK",NA,"NA","NA","NA","NA","yes",NA,"6/22/2015","11:57:50 AM"
"34","C17",10,0,0.1,2.72,17.483,-3.935,"Surface","4","5","GK",NA,"NA","NA","NA","NA",NA,"Start Spit 5","6/22/2015","12:07:48 PM"
"35","C17",11,0,0.04,2.648,17.265,-3.935,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes",NA,"6/22/2015","12:18:25 PM"
"36","C17",12,0,0.07,2.698,17.305,-3.943,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","second phalanx","6/22/2015","12:39:43 PM"
"37","C17",13,0,0.0099999998,2.613,17.25,-3.932,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","third phalanx, equus","6/22/2015","12:54:46 PM"
"38","C17",14,0,0.0099999998,2.527,17.339,-3.959,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","second phalanx","6/22/2015","12:55:30 PM"
"39","C17",15,0,0.01,2.553,17.3,-3.961,"Bone","4","5","GK","10 SW","216","NA","NA","NA","yes","bird bone","6/22/2015","1:32:32 PM"
"40","C17",16,0,0.01,2.635,17.159,-3.905,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","carpal or tarsal","6/22/2015","1:51:03 PM"
"41","C17",17,0,0.16,2.827,17.445,-3.99,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","third phalanx, carnivore","6/22/2015","2:32:21 PM"
"42","C17",18,0,0.15,2.803,17.433,-3.982,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","carpal or tarsal","6/22/2015","2:33:25 PM"
"43","C17",19,0,0.12,2.826,17.404,-3.951,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","carpal or tarsal","6/22/2015","2:34:31 PM"
"44","C17",20,0,0,2.606,17.165,-3.939,"Bone","4","5","GK","28 W","258","NA","NA","NA","yes","scapula fragment with gnawing marks","6/23/2015","10:19:53 AM"
"45","C17",21,0,0.09,2.495,17.648,-4.082,"Bone","4","5","GK","8 SW","243","NA","NA","NA","yes","rib","6/23/2015","11:09:47 AM"
"46","C17",22,0,0.14,2.55,17.795,-4.094,"Bone","4","5","GK","8 SW","252","NA","NA","NA","yes","metapodium, carnivore","6/23/2015","11:10:49 AM"
"47","C17",23,0,0.1400000006,2.61,17.876,-4.069,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","carpal","6/23/2015","11:11:46 AM"
"48","C17",24,0,0.12,2.417,17.727,-4.121,"Bone","4","5","GK",NA,"NA","NA","NA","NA","yes","carpal","6/23/2015","11:42:15 AM"
"49","C17",25,0,0.03,2.718,17.497,-4.074,"Bone","4","5","GK","40 W","284","NA","NA","NA","yes","first phalanx, equus","6/23/2015","12:00:33 PM"
"50","C17",26,0,0.03,2.643,17.526,-4.104,"Collected finds","4","5","GK",NA,"NA","NA","NA","NA","yes","End Spit 5","6/23/2015","12:08:34 PM"
"51","C17",27,0,0.03,2.643,17.526,-4.104,"Surface","4","6","GK",NA,"NA","NA","NA","NA",NA,"Start Spit 6","6/23/2015","12:08:41 PM"
"52","C17",28,0,0.01,2.907,17.862,-4.051,"Bone","4","6","DK",NA,"NA","NA","NA","NA","yes","carpal, cervid","6/24/2015","12:27:47 PM"
"53","C17",29,0,0.01,2.717,17.975,-4.07,"Bone","4","6","Prof.GK",NA,"NA","NA","NA","NA","yes","vertebra","6/26/2015","9:50:13 AM"
"54","C17",30,0,0.06,2.745,17.87,-4.149,"Bone","4","6","AG",NA,"NA","NA","NA","NA","yes","carpal, equus","6/26/2015","3:03:16 PM"
"55","C17",31,0,0.12,2.786,17.856,-4.169,"Bone","4","6","AG",NA,"NA","NA","NA","NA","yes","vertebra","6/26/2015","3:21:32 PM"
"56","C17",32,0,0.01,2.994,17.93,-4.109,"Bone","4","6","GK",NA,"NA","NA","NA","NA","yes","rib","6/29/2015","10:12:23 AM"
"57","C18",1,0,0.3,2.836,18.405,-4.039,"Surface","4","1","DK",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/23/2015","12:42:38 PM"
"58","C18",2,0,0.1,2.998,18.208,-3.985,"Bone","4","1","DK",NA,"NA","NA","NA","NA","yes","third phalanx, equus","6/23/2015","12:43:49 PM"
"59","C18",3,0,0.0099999998,2.507,18.528,-4.06,"Bone","4","1","Prof.GK","8 E","112","130","NA","NA","no","not collected, long bone fragment","6/29/2015","10:13:51 AM"
"60","C20",1,0,0,2.9,20.49,-3.739,"Surface","4","1","NT",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/22/2015","10:14:25 AM"
"61","C20",2,0,0.04,2.794,20.295,-3.878,"Bone","4","1","Prof.GK","10 SE","130","110","NA","NA","no","not collected, long bone fragment","6/24/2015","10:08:12 AM"
"62","C20",3,0,0.04,2.289,20.518,-4.213,"Bone","4","1","Prof.GK","0","10","NA","NA","NA","lost","fragment with gnawing marks","6/25/2015","2:44:52 PM"
"63","C20",4,0,0.0099999998,2.391,20.338,-4.184,"Bone","4","1","Prof.GK","10 S","170","130","NA","NA","no","not collected, long bone fragment","6/25/2015","2:51:33 PM"
"64","C20",5,0,0.0099999998,2.653,20.399,-3.931,"Bone","4","3","NT","8 W","300","210","NA","NA","no","not collected, long bone fragment","6/29/2015","3:03:56 PM"
"65","C21",1,0,0,2.907,21.132,-3.768,"Surface","4","1","NT",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/22/2015","10:10:44 AM"
"66","C21",2,0,0,2.854,21.118,-3.844,"Surface","4","2","NT",NA,"NA","NA","NA","NA",NA,"Start Spit 2","6/22/2015","3:05:36 PM"
"67","C21",3,0,0.03,2.683,21.059,-3.933,"Bone","4","3","Prof.GK","30 W","252","NA","NA","NA","yes","metacarpale, equus","6/24/2015","1:55:34 PM"
"68","D13",1,0,0,3.777,13.757,-3.189,"Surface","3","1","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/23/2015","10:17:43 AM"
"69","D13",2,0,0.04,3.694,13.725,-3.27,"Surface","4","1","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 1","6/23/2015","10:49:10 AM"
"70","D13",3,0,0.14,3.689,13.708,-3.362,"Bone","4","1","EM","0","114","260","NA","NA","no","not collected, rib fragment","6/23/2015","11:38:37 AM"
"71","D13",4,0,0.14,3.621,13.754,-3.387,"Surface","4","2","EM",NA,"NA","NA","NA","NA",NA,"Start Spit 2","6/23/2015","12:40:17 PM"
"72","D13",5,0,0.2,3.257,13.76,-3.525,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, bl, gr ph: 313/5367 - 313/5376","6/24/2015","12:10:52 PM"
"73","D13",5,1,0.12,3.157,14.109,-3.452,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, bl, gr ph: 313/5367 - 313/5376","6/24/2015","12:12:24 PM"
"74","D13",5,2,0.4,4.088,13.895,-3.517,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, bl, gr ph: 313/5367 - 313/5376","6/24/2015","12:13:03 PM"
"75","D13",5,3,0.25,4.005,13.532,-3.472,"GCP surface","4","NA",NA,NA,"NA","NA","NA","NA",NA,"GCP orthophoto ye, re, bl, gr ph: 313/5367 - 313/5376","6/24/2015","12:13:38 PM"
"76","D13",6,0,0.4,3.619,13.638,-3.512,"Bone","4","2","EM",NA,"NA","NA","NA","NA","no","not collected, long bone fragment","6/24/2015","12:35:31 PM"
"77","D13",7,0,0.5,3.451,13.739,-3.515,"Bone","4","2","EM","0","120","130","NA","NA","no","not collected, long bone fragment","6/24/2015","12:39:14 PM"
"78","D13",8,0,0.27,3.998,13.507,-3.484,"Bone/Tooth","4","2","EM",NA,"NA","NA","NA","NA","yes","mandibula","6/25/2015","11:05:05 AM"
"79","D13",9,0,0.14,3.782,13.947,-3.449,"Bone","4","2","EM","0","170","NA","NA","NA","yes","long bone fragment","6/25/2015","12:53:38 PM"
"80","D13",10,0,0.15,3.77,13.905,-3.472,"Bone","4","2","EM","0","40","80","NA","NA","no","not collected, long bone fragment","6/25/2015","12:54:51 PM"
"81","D13",11,0,0.14,3.913,13.86,-3.451,"Bone","4","2","EM","0","40","90","NA","NA","no","not collected, long bone fragment","6/25/2015","12:55:33 PM"
